,Line number,Station number,marked,Datetime,time stamp (ms),conductivity (mS/m)
973,0,0.0,0,2025-01-24 13:57:43.856748,82345771,20.4775
974,0,0.0,0,2025-01-24 13:57:43.856936,82345959,20.4775
975,0,0.0,0,2025-01-24 13:57:43.857125,82346148,20.4775
976,0,0.0,0,2025-01-24 13:57:43.857313,82346336,20.4775
977,0,0.0,0,2025-01-24 13:57:43.857501,82346524,20.4775
978,0,0.0,0,2025-01-24 13:57:43.857690,82346713,20.4775
979,0,0.0,0,2025-01-24 13:57:43.857878,82346901,20.4775
980,0,0.0,0,2025-01-24 13:57:43.858066,82347089,20.4775
981,0,0.0,0,2025-01-24 13:57:43.858255,82347278,20.4775
982,0,0.0,0,2025-01-24 13:57:43.858443,82347466,20.4775
983,0,0.0,0,2025-01-24 13:57:43.858631,82347654,20.4775
984,0,0.0,0,2025-01-24 13:57:43.858819,82347842,20.4775
985,0,0.0,0,2025-01-24 13:57:43.859008,82348031,20.4775
986,0,0.0,0,2025-01-24 13:57:43.859196,82348219,20.4775
987,0,0.0,0,2025-01-24 13:57:43.859384,82348407,20.4775
988,0,0.0,0,2025-01-24 13:57:43.859573,82348596,20.4775
989,0,0.0,0,2025-01-24 13:57:43.859761,82348784,20.4775
990,0,0.0,0,2025-01-24 13:57:43.859949,82348972,20.4775
991,0,0.0,0,2025-01-24 13:57:43.860137,82349160,20.4775
992,0,0.0,0,2025-01-24 13:57:43.860326,82349349,20.4775
993,0,0.0,0,2025-01-24 13:57:43.860514,82349537,20.4775
994,0,0.0,0,2025-01-24 13:57:43.860703,82349726,20.4775
995,0,0.0,0,2025-01-24 13:57:43.860891,82349914,20.4775
996,0,0.0,0,2025-01-24 13:57:43.861079,82350102,20.4775
997,0,0.0,0,2025-01-24 13:57:43.861268,82350291,20.4775
998,0,0.0,0,2025-01-24 13:57:43.861456,82350479,20.4775
999,0,0.0,0,2025-01-24 13:57:43.861645,82350668,20.4775
1000,0,0.0,0,2025-01-24 13:57:43.861833,82350856,20.4775
1001,0,0.0,0,2025-01-24 13:57:43.862022,82351045,20.4775
1002,0,0.0,0,2025-01-24 13:57:43.862210,82351233,20.4775
1003,0,0.0,0,2025-01-24 13:57:43.862398,82351421,20.4775
1004,0,0.0,0,2025-01-24 13:57:43.862586,82351609,20.4775
1005,0,0.0,0,2025-01-24 13:57:43.862775,82351798,20.4775
1006,0,0.0,0,2025-01-24 13:57:43.862963,82351986,20.4775
1007,0,0.0,0,2025-01-24 13:57:43.863152,82352175,20.4775
1008,0,0.0,0,2025-01-24 13:57:43.863340,82352363,20.4775
1009,0,0.0,0,2025-01-24 13:57:43.863528,82352551,20.4775
1010,0,0.0,0,2025-01-24 13:57:43.863717,82352740,20.4775
1011,0,0.0,0,2025-01-24 13:57:43.863905,82352928,20.4775
1012,0,0.0,0,2025-01-24 13:57:43.864093,82353116,20.4775
1013,0,0.0,0,2025-01-24 13:57:43.864282,82353305,20.4775
1014,0,0.0,0,2025-01-24 13:57:43.864470,82353493,20.4775
1015,0,0.0,0,2025-01-24 13:57:43.864658,82353681,20.4775
1016,0,0.0,0,2025-01-24 13:57:43.864847,82353870,20.4775
1017,0,0.0,0,2025-01-24 13:57:43.865035,82354058,20.4775
1018,0,0.0,0,2025-01-24 13:57:43.865223,82354246,20.4775
1019,0,0.0,0,2025-01-24 13:57:43.865412,82354435,20.4775
1020,0,0.0,0,2025-01-24 13:57:43.865600,82354623,20.4775
1021,0,0.0,0,2025-01-24 13:57:43.865789,82354812,20.4775
1022,0,0.0,0,2025-01-24 13:57:43.865977,82355000,20.4775
1023,0,0.0,0,2025-01-24 13:57:43.866165,82355188,20.4775
1024,0,0.0,0,2025-01-24 13:57:43.866354,82355377,20.4775
1025,0,0.0,0,2025-01-24 13:57:43.866542,82355565,20.4775
